Student,LPIPS,SSIM
113590028.png,0.313404381275177,0.6091162978339656
113590023.png,0.317379355430603,0.5069459945398586
113AB0018.png,0.3252030909061432,0.5355934062892552
113590050.png,0.32701170444488525,0.5299106504237828
113590018.png,0.33704128861427307,0.5593412899516725
113590049.png,0.35212409496307373,0.5342393723895273
113590011.png,0.3529922366142273,0.5572519332921474
113590031.png,0.3582295775413513,0.6011187268336572
113590044.png,0.3583615720272064,0.5506414236912717
113590056.png,0.36523300409317017,0.592860497159971
112590452.png,0.37167418003082275,0.5665311599988306
112590454.png,0.37261927127838135,0.5659085004350474
113590026.png,0.3759348392486572,0.612277574348572
111590047.png,0.37744277715682983,0.6145071607860627
113590021.png,0.3785346448421478,0.5142222950388528
113590052.png,0.38526755571365356,0.5019734676918335
113590045.png,0.38744908571243286,0.5070065078941844
113590061.png,0.3894999027252197,0.5515467599227581
113590001.png,0.39709216356277466,0.5322426716532939
113590006.png,0.39713409543037415,0.47064985230314366
113370239.png,0.3982480466365814,0.5565726943584178
113590015.png,0.401828408241272,0.5350924619618113
112590058.jpg,0.4042346179485321,0.4698524058635145
113590051.png,0.40484198927879333,0.5544325178124971
113AC1012.png,0.4062789976596832,0.5424143545957084
112590040.png,0.4084388017654419,0.4914718942630427
113590057.png,0.40902143716812134,0.5355984847358162
113590003.png,0.41570234298706055,0.5600254732466372
113590002.png,0.4171295464038849,0.5239778869429569
113590022.png,0.41820237040519714,0.514731221777477
113590039.png,0.4184960722923279,0.5360021786607727
113590032.png,0.420949786901474,0.6085011533631819
113590062.png,0.42130181193351746,0.4881721400400958
113590033.png,0.42166757583618164,0.5337086204650597
113590451.png,0.42969810962677,0.5482683576388264
113590008.png,0.43338993191719055,0.4509658895786092
113590042.png,0.43513223528862,0.5330772543214861
113590036.png,0.43750089406967163,0.4841264913362235
112590455.png,0.44000470638275146,0.546402989862065
111590062.png,0.4404202103614807,0.536078081629496
113590060.png,0.4464961290359497,0.5547162443270597
111590455.png,0.4488782584667206,0.537753882154619
113590450.png,0.4512115716934204,0.5457815674593873
113590040.png,0.4527708888053894,0.518289181795749
111590028.png,0.4631277918815613,0.5420437455525655
110590455.png,0.4651724100112915,0.5354005035277225
113590013.png,0.4711011052131653,0.34716502653315173
114054809.png,0.4729846715927124,0.52569486056918
113590047.png,0.4771295189857483,0.5988268534684429
113590005.png,0.47898536920547485,0.5844286766408706
113590004.png,0.485867440700531,0.5999234803358898
113590010.png,0.4986598491668701,0.4767801164045092
113590043.png,0.498856782913208,0.6156884671123716
113590025.png,0.5063013434410095,0.6113472616041001
111590042.png,0.5229685306549072,0.6223302472789441
